brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
55906.0,for_sale,10000000.0,6.0,5.0,0.12,1233063.0,Aguada,Puerto Rico,602.0,6000.0,
47983.0,for_sale,389000.0,3.0,4.0,2.0,1902739.0,Aguada,Puerto Rico,602.0,1880.0,
102017.0,for_sale,575000.0,3.0,2.0,2.96,1962620.0,Aguada,Puerto Rico,602.0,2500.0,
46019.0,for_sale,35000.0,,,0.88,1234597.0,Aguada,Puerto Rico,602.0,,
52464.0,for_sale,58000.0,,,0.21,1966337.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,85000.0,,,21.08,1188097.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,47000.0,,,0.57,1841588.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,720000.0,3.0,3.0,,1667516.0,Aguada,Puerto Rico,602.0,2715.0,
102017.0,for_sale,375000.0,7.0,5.0,0.31,166250.0,Aguada,Puerto Rico,602.0,2775.0,
46019.0,for_sale,50000.0,,,0.65,1946326.0,Aguada,Puerto Rico,602.0,,
66561.0,for_sale,3250000.0,,6.0,0.06,1856959.0,Rincon,Puerto Rico,602.0,,
47983.0,for_sale,39500.0,,,0.24,1902841.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,249500.0,,,33.35,1032552.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,1399000.0,5.0,3.0,8.74,6714.0,Aguada,Puerto Rico,602.0,5517.0,
60830.0,for_sale,600000.0,6.0,5.0,0.1,1946165.0,Aguada,Puerto Rico,602.0,2400.0,
102017.0,for_sale,649000.0,,,2.64,1946165.0,Aguada,Puerto Rico,602.0,,
47983.0,for_sale,189000.0,2.0,1.0,,1902894.0,Aguada,Puerto Rico,602.0,951.0,
52707.0,for_sale,150000.0,,,1.46,1902798.0,Aguada,Puerto Rico,602.0,,
107152.0,for_sale,74000.0,,,0.21,1966339.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,65500.0,,,0.28,16882.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,67500.0,,,0.28,1760196.0,Aguada,Puerto Rico,602.0,,
107152.0,for_sale,74000.0,,,0.21,1842584.0,Aguada,Puerto Rico,602.0,,
